"Institution"	"EZB-Id"	"Sigel"
"Hochschulbibliothek der HTWK Leipzig"	"HTWK"	"DE-L189"
"Hochschulbibliothek der TH Köln"	"FHBK"	"DE-832"
"Hochschulbibliothek der WH Zwickau"	"WHZ"	"DE-Zwi2"
"Hochschulbibliothek EAH Jena"	"FHJ"	"DE-J59"
"Hochschulbibliothek Emden/Leer"	"FHOOW"	"DE-755"
"Hochschulbibliothek Esslingen"	"HBES"	"DE-753"
"Hochschulbibliothek Friedensau"	"THHFR"	"DE-Brg3"
"Hochschulbibliothek Heilbronn"	"FHHN"	"DE-840"
"Hochschulbibliothek Karlsruhe"	"HSBKA"	"DE-751"
"Hochschulbibliothek Kempten"	"FHBKA"	"DE-859"
"Hochschulbibliothek Magdeburg-Stendal"	"HBMST"	"DE-551"
"Hochschulbibliothek Mannheim"	"FHMA"	"DE-953"
"Hochschulbibliothek Merseburg"	"FHMQ"	"DE-542"
"Hochschulbibliothek Mittweida"	"HTWM"	"DE-Mit1"
"Hochschulbibliothek Neubrandenburg"	"FHNB"	"DE-519"
"Hochschulbibliothek OTH Regensburg"	"FHBR"	"DE-898"
"Hochschulbibliothek Worms"	"FHWO"	"DE-1117"
"Hochschulbibliothek Würzburg-Schweinfurt"	"FHBWS"	"DE-863"
"Hochschule Anhalt"	"HSB"	"DE-Kt1"
"Hochschule für Gesundheit"	"HFG"	"DE-1866"
"Hochschule für Technik und Wirtschaft des Saarlandes / Bibliothek"	"HTWS"	"DE-Sa16"
"Hochschule Furtwangen - Die Bibliotheken"	"FHFU"	"DE-Fn1"
"Hochschule für Wirtschaft und Recht Berlin"	"FHW"	"DE-2070s"
"Hochschule Kaiserslautern, Hochschulbibliothek"	"FHKL"	"DE-1082"
"Hochschule Karlsruhe - Technik und Wirtschaft HsKA"	"FBHKA"	"DE-90-4"
"Hochschule Koblenz RheinAhrCampus Remagen"	"HKRAC"	"DE-1105"
"Hochschule Osnabrück - Bibliothek"	"FHOS"	"DE-959"
"Hochschule Ravensburg-Weingarten (HRW)"	"HSBW"	"DE-747"
"Hochschule Reutlingen - Lernzentrum"	"FHRT"	"DE-Rt2"
"Hochschule Rhein-Waal"	"HRW"	""
"Hochschule Trier / Bibliothek"	"FHTR"	"DE-Tr5"
"Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg"	"HAWHH"	""
"Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg"	"FHBRS"	"DE-1044"
"Hochschul- und Landesbibliothek RheinMain"	"HLB"	"DE-43"
"IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund - Bibliothek"	"IFADO"	"DE-Dm21"
"Institut für Deutsche Sprache (IDS)"	"IDS"	"DE-Mh39"
"IUBH Internationale Hochschule - Bibliothek"	"IUBH"	"DE-1278"
"IZUS / Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"Johann Heinrich von Thünen-Institut, Bereich Wald"	"BFH"	"DE-H105"
"Johann Heinrich von Thünen-Institut (vTI), Bereich Fischerei"	"BFAFI"	"DE-H140"
"Karlsruher Institut für Technologie KIT"	"KIT"	"DE-90"
"Kommunikations-, Informations- und Medienzentrum Hohenheim (KIM)"	"UBHOH"	"DE-100"
"Landesbibliothek Coburg"	"LBCO"	"DE-70"
"Landesbibliothek Mecklenburg-Vorpommern Schwerin"	"LBMV"	"DE-33"
"Landesbibliothek Oldenburg"	"LBO"	"DE-45"
