Lizenzliste: Gold: Hogrefe [PUB-HOGRE-00001]			 			 			 			 			 	
Datum: 26.01.2021			 			 			 			 			 	
Typ der Lizenzen: Alle angezeigten Lizenzen			 			 			 			 			 	
 			 			 			 			 			 	
EZB-Id	Titel	Verlag	Fach	E-ISSN	P-ISSN	ZDB-Nummer	FrontdoorURL	Link zur Zeitschrift	erstes Jahr	erstes volume	erstes issue	letztes Jahr	letztes volume	letztes issue	Embargo	Schlagworte
29652	Swiss Journal of Psychology = Schweizerische Zeitschrift für Psychologie = Revue Suisse de Psychologie	Hogrefe & Huber	Psychologie	1662-0879	1421-0185	2090982-2	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29652	http://econtent.hogrefe.com/loi/sjp	1999	58					0	Psychologie
29649	Zeitschrift für Arbeits- und Organisationspsychologie A & O	Hogrefe & Huber	Psychologie	2190-6270	0932-4089	2091188-9	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29649	http://econtent.hogrefe.com/loi/zao	1999	43					0	Psychologie
29669	Zeitschrift für Entwicklungspsychologie und Pädagogische Psychologie	Hogrefe & Huber	Psychologie	2190-6262	0049-8637	2091002-2	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29669	http://econtent.hogrefe.com/loi/zep	1999	31					0	Psychologie
25295	Zeitschrift für Kinder- und Jugendpsychiatrie und Psychotherapie	Hogrefe	Psychologie	1664-2880	1422-4917	2083294-1	http://ezb.uni-regensburg.de/detail.phtml?jour_id=25295	http://econtent.hogrefe.com/loi/kij	1999	27					0	Psychologie
29601	Zeitschrift für Klinische Psychologie und Psychotherapie (Formerly: Zeitschrift für Klinische Psychologie: Forschung und Praxis)	Hogrefe & Huber	Psychologie	2190-6297	0084-5345	2090322-4	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29601	http://econtent.hogrefe.com/loi/zkp	1999	28					0	Psychologie
29005	Zeitschrift für Neuropsychologie	Hogrefe & Huber	Psychologie	1664-2902	1016-264X	2091184-1	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29005	http://econtent.hogrefe.com/loi/znp	1999	10					0	Psychologie
29007	Zeitschrift für Pädagogische Psychologie	Hogrefe & Huber	Psychologie	1664-2910	1010-0652	2076176-4	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29007	http://econtent.hogrefe.com/loi/zpp	1999	13					0	Psychologie
63959	Zeitschrift für Psychiatrie, Psychologie und Psychotherapie (ZPPP) 	Hogrefe & Huber	Psychologie	1664-2929	1661-4747	2221055-6	http://ezb.uni-regensburg.de/detail.phtml?jour_id=63959	http://econtent.hogrefe.com/loi/ppp	2006	54					0	Psychologie
29673	Zeitschrift für Psychologie = Journal of Psychology (teilw.: Zeitschrift für Psychologie mit Zeitschrift für Angewandte Psychologie) 	Hogrefe & Huber	Psychologie	2151-2604	0044-3409	2090996-2	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29673	https://econtent.hogrefe.com/loi/zfpx	2000	208					0	Psychologie
42113	Zeitschrift für Sportpsychologie	Hogrefe & Huber	Psychologie	2190-6300	1612-5010	2143348-3	http://ezb.uni-regensburg.de/detail.phtml?jour_id=42113	http://econtent.hogrefe.com/loi/spo	2004	11					0	Psychologie
29430	International Journal for Vitamin and Nutrition Research	Hogrefe & Huber	Medizin 	1664-2821 	0300-9831 	2088441-2 	http://ezb.uni-regensburg.de/detail.phtml?jour_id=29430	http://econtent.hogrefe.com/loi/vit  	1999	69					0	Medizin
192957	International Perspectives in Psychology	Hogrefe & Huber	Psychologie	2157-3891 	2157-3883 	2677135-4 	http://ezb.uni-regensburg.de/detail.phtml?jour_id=192957	https://econtent.hogrefe.com/loi/ipp  	2011	1					0	Psychologie
176417	PADUA : Fachzeitschrift für Pflegepädagogik, Patientenedukation und -bildung	Hogrefe & Huber	Medizin 	2235-218X 	1861-6186 	2647674-5 	http://ezb.uni-regensburg.de/detail.phtml?jour_id=176417	https://econtent.hogrefe.com/loi/pad  	2006	1					0	Medizin
20061	Pflege 	Hogrefe & Huber	Medizin 	1664-283X 	1012-5302 	2077531-3 	https://ezb.uni-regensburg.de/detail.phtml?jour_id=20061	https://econtent.hogrefe.com/loi/pfl  	1999	12					0	
9841	Praxis : Schweizerische Rundschau für Medizin = Revue Suisse de Médecine	Hogrefe & Huber	Medizin 	1661-8165 	1661-8157 	2041040-2 	https://ezb.uni-regensburg.de/detail.phtml?jour_id=9841	http://econtent.hogrefe.com/loi/prx  	2002	91					0	
467520	Psychological Test Adaptation and Development 	Hogrefe & Huber	Psychologie	2698-1866 		2980402-4 	https://ezb.uni-regensburg.de/detail.phtml?jour_id=467520	https://econtent.hogrefe.com/loi/pta  	2020	1					0	
19025	Therapeutische Umschau 	Hogrefe & Huber	Medizin 	1664-2864 	0040-5930 	2069850-1 	https://ezb.uni-regensburg.de/detail.phtml?jour_id=19025	http://econtent.hogrefe.com/loi/tum  	1999	56					0	
25241	VASA : European Journal of Vascular Medicine (inkl. Supplemente) 	Hogrefe & Huber	Medizin 	1664-2872 	0251-1029 	2082843-3 	https://ezb.uni-regensburg.de/detail.phtml?jour_id=25241	https://econtent.hogrefe.com/loi/vas  	1999	28					0	
