"Lizenzliste: Wiley DEAL VP [EZB-WILEY-01713]"			 			 			 			 			 	
"Datum: 05.05.2020 um 15:30 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
104820	"Acta Geologica Sinica - English Edition"	"Wiley-Blackwell - STM ; Chinese Society of Geological Sciences; English China Online Journals (ECOJ)"	"Geowissenschaften"	"1755-6724"	"1000-9515"	"2420386-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=104820"	"https://onlinelibrary.wiley.com/journal/17556724"	1997	71						"Regionale Geowissenschaften Asien"
6551	"Acta Neurologica Scandinavica (incl. Suppl.)"	"Wiley"	"Medizin"	"1600-0404;1600-5449"	"0001-6314;0065-1427"	"2001898-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=6551"	"https://onlinelibrary.wiley.com/journal/16000404"	1997	95						"Neurologie"
63939	"Acta Obstetricia et Gynecologica Scandinavica (AOGS) "	"Wiley-Blackwell - STM ; formerly Informa Healthcare"	"Medizin"	"1600-0412"	"0001-6349;0786-4981"	"2024554-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=63939"	"https://onlinelibrary.wiley.com/journal/16000412"	1997	76						"Gynäkologie und Geburtshilfe"
7617	"Acta Ophthalmologica "	"Wiley-Blackwell - STM "	"Medizin"	"1600-0420;1755-3768"	"0001-639X;1395-3907;1755-375X"	"2466981-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=7617"	"https://onlinelibrary.wiley.com/journal/17553768"	1997	75						"Augenheilkunde"
5507	"Acta Paediatrica <Acta Paediatrica Scandinavica>: Nurturing the Child (incl. Suppl.)"	"Wiley"	"Medizin"	"1651-2227"	"0001-656X;0365-1436;0365-5741;0803-5253"	"1492629-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=5507"	"https://onlinelibrary.wiley.com/journal/16512227"	1997	86						"Kinderheilkunde"
2637	"Acta Physiologica (incl. Suppl.)"	"Wiley"	"Medizin"	"1365-201X;1748-1716"	"0001-6772;1748-1708"	"2219379-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=2637"	"https://onlinelibrary.wiley.com/journal/17481716"	1997	159						"Humanphysiologie"
6786	"Acta Psychiatrica Scandinavica (incl. Suppl.)"	"Wiley"	"Medizin"	"1600-0447;1600-5473"	"0001-690X;0065-1591;0365-5598"	"2005703-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=6786"	"https://onlinelibrary.wiley.com/journal/16000447"	1997	95						"Psychiatrie"
8977	"Acta Zoologica"	"Wiley-Blackwell - STM "	"Biologie"	"1463-6395"	"0001-7272"	"2019873-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=8977"	"https://onlinelibrary.wiley.com/journal/14636395"	1997	78						"Allgemeine Zoologie"
19171	"Addiction "	"Wiley"	"Medizin;Psychologie"	"1360-0443"	"0965-2140"	"2002997-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=19171"	"https://onlinelibrary.wiley.com/journal/13600443"	1997	92						"Suchtforschung"
1069	"Addiction Biology"	"Wiley-Blackwell - STM "	"Medizin"	"1369-1600"	"1355-6215"	"1495537-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=1069"	"https://onlinelibrary.wiley.com/journal/13691600"	1997	2						"Suchtforschung"
172025	"Adultspan Journal"	"Wiley-Blackwell - SSH; American Counseling Association"	"Psychologie"	"2161-0029"	"1524-6817"	"2645252-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=172025"	"https://onlinelibrary.wiley.com/journal/21610029"	1999	1						"Familienpsychologie"
252610	"Advanced Biosystems"	"Wiley"	"Verfahrenstechnik, Biotechnologie, Lebensmitteltechnologie"	"2366-7478"	"2366-7478"	"2880980-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=252610"	"https://onlinelibrary.wiley.com/journal/23667478"	2017	1						"Biotechnologie"
454472	"Advanced Control for Applications"	"Wiley"	"Elektrotechnik,  Mess- und Regelungstechnik"	"2578-0727"	"2578-0727"	"2968631-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=454472"	"https://onlinelibrary.wiley.com/journal/25780727"	2019	1						"Regelungstechnik"
228411	"Advanced Electronic Materials"	"Wiley"	"Elektrotechnik,  Mess- und Regelungstechnik"	"2199-160X"	"2199-160X"	"2810904-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=228411"	"https://onlinelibrary.wiley.com/journal/2199160X"	2015	1						"Elektronik"
151352	"Advanced Energy Materials"	"Wiley-VCH"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1614-6840"	"1614-6832"	"2594556-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=151352"	"https://onlinelibrary.wiley.com/journal/16146840"	2011	1						"Energietechnik"
7601	"Advanced Engineering Materials"	"Wiley-Blackwell - STM "	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1527-2648"	"1438-1656"	"2016980-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=7601"	"https://onlinelibrary.wiley.com/journal/15272648"	1999	1						"Werkstoffkunde"
9538	"Advanced Functional Materials"	"Wiley-Blackwell - STM "	"Chemie und Pharmazie;Elektrotechnik,  Mess- und Regelungstechnik"	"1099-0712;1616-3028"	"1057-9257;1616-301X"	"2039420-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=9538"	"https://onlinelibrary.wiley.com/journal/16163028"	1997	7						"Halbleitertechnik"
171704	"Advanced Healthcare Materials"	"Wiley"	"Medizin"	"2192-2659"	"2192-2640"	"2645585-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=171704"	"https://onlinelibrary.wiley.com/journal/21922659"	2012	1						"Allgemeine medizinische Zeitschriften"
4002	"Advanced Materials"	"Wiley-Blackwell - STM "	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik;Physik"	"1521-4095"	"0935-9648"	"1474949-X"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=WILEY&jour_id=4002"	"https://onlinelibrary.wiley.com/journal/15214095"	1998	10						"Werkstoffkunde;Werkstoffchemie"
