"Institution"	"EZB-Id"	"Sigel"
"Technische Hochschule Ostwestfalen-Lippe, Service Kommunikation Information Medien"	"FHLH"	"DE-743"
"Hochschule München, Bibliothek"	"FHM"	"DE-M347"
"Hochschule Mannheim, Hochschulbibliothek"	"FHMA"	"DE-953"
"Hochschule Merseburg, Bibliothek"	"FHMQ"	"DE-542"
"Technische Hochschule Nürnberg Georg Simon Ohm, Bibliothek"	"FHN"	"DE-92"
"Hochschule Neubrandenburg, Bibliothek"	"FHNB"	"DE-519"
"Hochschule Emden/Leer, Hochschulbibliothek"	"FHOOW"	"DE-755"
"Hochschule Osnabrück, Bibliothek Campus Westerberg"	"FHOS"	"DE-959"
"Hochschulbibliothek Reutlingen (Lernzentrum)"	"FHRT"	"DE-Rt2"
"Technische Hochschule Ulm, Bibliothek"	"FHUL"	"DE-943"
"Hochschule Weihenstephan-Triesdorf, Zentralbibliothek"	"FHWEI"	"DE-1028"
"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Campus Wilhelmshaven, Bibliothek"	"FHWOE"	"DE-839"
"Freie Universität Berlin, Universitätsbibliothek"	"FUB"	"DE-188"
"Universitätsbibliothek der Fernuniversität"	"FUH"	"DE-708"
"Forschungszentrum Jülich GmbH, Zentralbibliothek"	"FZJUE"	"DE-Juel1"
"Helmholtz-Zentrum Dresden - Rossendorf e.V., Bibliothek"	"FZR"	"DE-D120"
"Bibliothek des Wissenschaftsparks Albert Einstein"	"GFZPO"	"DE-B103"
"Deutsches Historisches Institut Washington, Bibliothek"	"GHI"	"DE-Y8"
"German Institute for Global and Area Studies, Bibliothek"	"GIGA"	"DE-H221"
"Helmholtz-Zentrum Geesthacht, Zentrum für Material- und Küstenforschung GmbH, Bibliothek"	"GKSS"	"DE-Gt1"
"Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek"	"GWLB"	"DE-35"
"Leibniz-Institut für Länderkunde, Geographische Zentralbibliothek"	"GZB"	"DE-185"
"Asien-Afrika-Institut der Universität Hamburg, Bibliothek"	"HAWHH"	"DE-18-303"
"HAWK Hochschule für angewandte Wissenschaft und Kunst Hildesheim/Holzminden/Göttingen, Bibliothek Ingenieurwissenschaften und Gesundheit"	"HAWK"	"DE-Hil3-1"
"Hochschule Geisenheim, Bibliothek"	"HBG"	"DE-2083"
"HafenCity Universität Hamburg, Bibliothek"	"HCUHH"	"DE-1373"
"Hochschule der Bundesagentur für Arbeit, Bibliothek"	"HDBA"	"DE-1251"
"Zentrale Hochschulbibliothek Flensburg"	"HDFL"	"DE-Fl3"
"Herz- und Diabeteszentrum Nordrhein-Westfalen - Universitätsklinik der Ruhr-Universität Bochum, Medizinische Bibliothek"	"HDZ"	"DE-294-65"
"Bibliotheca Hertziana - Max-Planck-Institut für Kunstgeschichte"	"HERTZ"	"DE-Y2"
"Hochschule für Gesundheit, Hochschulbibliothek"	"HFG"	"DE-1866"
"Hochschule für Forstwirtschaft Rottenburg, Bibliothek"	"HFR"	"DE-955"
"Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen, Bibliothek Nürtingen"	"HFWU"	"DE-950"
"Hamburger Institut für Sozialforschung, Bibliothek"	"HIS"	"DE-H357"
"Hochschule Koblenz, RheinAhrCampus, Bibliothek"	"HKRAC"	"DE-1105"
"Hochschule Koblenz, Bibliothek RheinMoselCampus"	"HKRMC"	"DE-987"
"Hochschul- und Landesbibliothek RheinMain, Rheinstraße"	"HLB"	"DE-43"
"Bibliothek im Kurt-Schwitters-Forum"	"HMT"	"DE-960-3"
"Hochschule für Musik und Theater 'Felix Mendelssohn Bartholdy', Hochschulbibliothek"	"HMTL"	"DE-L152"
"Hochschule für Musik und Theater Rostock, Bibliothek"	"HMTRO"	"DE-563"
"Hochschule Rhein-Waal, Bibliothek"	"HRW"	"DE-1383"
"Hochschule Ruhr West, Hochschulbibliothek"	"HRWMB"	"DE-1393"
"Hochschule Anhalt , Hochschulbibliothek"	"HSB"	"DE-Kt1"
