"Lizenzliste: Frontiers Open Access Journals [PUB-FRONT-00001]"			 			 			 			 			 	
"Datum: 02.04.2019 um 10:23 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: (Gold) Open Access Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
203052	"Frontiers in Earth Science"	"Frontiers "	"Geowissenschaften"	"2296-6463"	""	"2741235-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=203052"	"http://www.frontiersin.org/Earth_Science"	2013	1	1				0	"Allgemeine Geowissenschaften"
204287	"Frontiers in Ecology and Evolution"	"Frontiers "	"Biologie"	"2296-701X"	""	"2745634-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=204287"	"http://www.frontiersin.org/Ecology_and_Evolution"	2013	1	1				0	"Ökologie;Evolution"
252870	"Frontiers in Education"	"Frontiers Media"	"Pädagogik;Wissenschaftskunde, Forschung, Hochschul-, Museumswesen"	"2504-284X"	""	"2882397-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=252870"	"http://journal.frontiersin.org/journal/education"	2016	1					0	"Erziehung ; Bildung"
151058	"Frontiers in Endocrinology "	" Frontiers Research Foundation"	"Medizin"	"1664-2392"	""	"2592084-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=151058"	"http://www.frontiersin.org/endocrinology"	2010						0	"Endokrinologie"
200915	"Frontiers in Energy Research"	"Frontiers Media"	"Energie, Umweltschutz, Kerntechnik"	"2296-598X"	""	"2733788-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=200915"	"http://www.frontiersin.org/Energy_Research"	2013						0	"Energiewesen"
203053	"Frontiers in Environmental Science"	"Frontiers Media"	"Energie, Umweltschutz, Kerntechnik"	"2296-665X"	""	"2741535-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=203053"	"http://www.frontiersin.org/Environmental_Science"	2013	1	1				0	"Umweltforschung"
123425	"Frontiers in Evolutionary Neuroscience"	"Frontiers Research Foundation, PubMed Central"	"Medizin"	"1663-070X"	""	"2505598-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=123425"	"http://www.frontiersin.org/evolutionary_neuroscience"	2009	1					0	"Neurologie"
160344	"Frontiers in Genetics "	"Frontiers Media; PubMed Central"	"Biologie;Medizin"	"1664-8021"	""	"2606823-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=160344"	"http://www.frontiersin.org/genetics"	2010	1					0	"Genetik"
106184	"Frontiers in Human Neuroscience"	"Frontiers Research Foundation"	"Medizin"	"1662-5161"	""	"2425477-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=106184"	"http://www.frontiersin.org/Human_Neuroscience/archive"	2008	1	1				0	"Neurologie"
237347	"Frontiers in ICT "	"Frontiers "	"Informatik;Soziologie"	"2297-198X"	""	"2835635-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=237347"	"http://journal.frontiersin.org/journal/ict#"	2014						0	"Digital Humanities"
160345	"Frontiers in Immunology "	"Frontiers Media"	"Medizin"	"1664-3224"	""	"2606827-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=160345"	"http://www.frontiersin.org/immunology"	2010	1					0	"Immunologie"
109937	"Frontiers in Integrative Neuroscience"	"Frontiers Research Foundation"	"Medizin"	"1662-5145"	""	"2452962-X"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=109937"	"http://www.frontiersin.org/Integrative_Neuroscience/archive"	2007	1					0	"Neurologie"
212774	"Frontiers in Marine Science "	"Frontiers "	"Biologie"	"2296-7745"	""	"2757748-X"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=212774"	"http://www.frontiersin.org/Marine_Science"	2014	1					0	"Meeresbiologie"
213309	"Frontiers in Materials"	"Frontiers "	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"2296-8016"	""	"2759394-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=213309"	"http://www.frontiersin.org/Materials"	2014	1	1				0	"Werkstoffkunde"
