"Lizenzliste: Walter de Gruyter Online-Zeitschriften LLH1 AL [EZB-NALFK-00448]"			 			 			 			 			 	
"Datum: 11.10.2018 um 12:40 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
205062	"Archiv für Kulturgeschichte (AKG)"	"Böhlau ; De Gruyter"	"Geschichte"	"2194-3958"	"0003-9233"	"2749468-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=205062"	"http://www.degruyter.com/view/j/akg?recentIssue=true"	1903	1						"Allgemeine Geschichtswissenschaften"
123168	"Archiv für Papyrusforschung und verwandte Gebiete"	"de Gruyter"	"Archäologie"	"1867-1551"	"0066-6459"	"2502690-2"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=123168"	"http://www.degruyter.com/view/j/apf?recentIssue=true"	1901	1						"Ägyptologie"
112015	"Archiv für Religionsgeschichte"	"de Gruyter"	"Theologie und Religionswissenschaft"	"1868-8888"	"1436-3038"	"2470935-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=112015"	"http://www.degruyter.com/view/j/afgs?recentIssue=true"	1999	1						"Religionsgeschichte"
205408	"Archivalische Zeitschrift"	"Böhlau ; De Gruyter"	"Wissenschaftskunde, Forschung, Hochschul-, Museumswesen"	"2194-3826"	"0003-9497"	"2750019-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=205408"	"http://www.degruyter.com/view/j/az?recentIssue=true"	1876	1						"Archivwesen"
103187	"Aschkenas : Zeitschrift für Geschichte und Kultur der Juden"	"Niemeyer ; de Gruyter"	"Geschichte"	"1865-9438"	"1016-4987"	"2052844-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=103187"	"http://www.degruyter.com/view/j/asch?recentIssue=true"	1992	2						"Jüdische Geschichte"
213608	"Asiatische Studien : Zeitschrift der Schweizerischen Asiengesellschaft = Etudes Asiatiques : Revue de la Société Suisse - Asie "	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen;Ethnologie (Volks- und Völkerkunde);Geschichte"	"2235-5871"	"0004-4717"	"2610886-0"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=213608"	"http://www.degruyter.com/view/j/asia?recentIssue=true"	2014	68						"Sinologie"
103835	"Beiträge zur Geschichte der Deutschen Sprache und Literatur (PBB, Paul-Braunes Beiträge) (1874 -)"	"Niemeyer ; de Gruyter"	"Germanistik. Niederländische Philologie. Skandinavistik"	"1865-9373"	"0005-8076"	"2418115-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=103835"	"http://www.degruyter.com/view/j/bgsl?recentIssue=true"	1874	1						"Deutsche Literaturwissenschaft"
262	"Bibliothek : Forschung und Praxis"	"de Gruyter"	"Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	"1865-7648"	"0341-4183"	"2027357-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=262"	"http://www.degruyter.com/view/j/bfup?recentIssue=true"	1977	1						"Allgemeines Bibliothekswesen;Wissenschaftliches Bibliothekswesen"
193781	"Bibliotheksdienst"	"de Gruyter"	"Informations-, Buch- und Bibliothekswesen, Schrift- und Handschriftenkunde"	"2194-9646"	"0006-1972"	"1465932-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=193781"	"http://www.degruyter.com/view/j/bd?recentIssue=true"	1967	1						"Allgemeines Bibliothekswesen"
205604	"Bildung und Erziehung (-2017)"	"Böhlau ; De Gruyter"	"Pädagogik"	"2194-3834"	"0006-2456"	"2750961-8"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=205604"	"http://www.degruyter.com/view/j/bue?recentIssue=true"	1948	1		2017	70			"Allgemeine pädagogische Zeitschriften"
106400	"Byzantinische Zeitschrift (incl. Supplementum bibliographicum)"	"de Gruyter"	"Klassische Philologie. Byzantinistik. Mittellateinische und neugriechische Philologie. Neulatein"	"1864-449X"	"0007-7704"	"2430676-9"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=106400"	"http://www.degruyter.com/view/j/byzs?recentIssue=true"	1892	1						"Byzantinistik"
172084	"Chinese Archaeology"	"de Gruyter"	"Archäologie"	"2160-5068"	"2160-5025"	"2645775-1"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=172084"	"http://www.degruyter.com/view/j/char?recentIssue=true"	2001	1						"Sinologie"
172085	"Chinese as a Second Language Research"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"2193-2271"	"2193-2263"	"2645776-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=172085"	"http://www.degruyter.com/view/j/caslar?recentIssue=true"	2012	1						"Sinologie"
170671	"Chinese Journal of Applied Linguistics "	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"2192-9513"	"2192-9505"	"2627949-6"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=170671"	"http://www.degruyter.com/view/j/cjal?recentIssue=true"	2011	34						"Allgemeine Linguistik"
4486	"Cognitive Linguistics : An Interdisciplinary Journal of Cognitive Science"	"Mouton de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1613-3641"	"0936-5907"	"1476602-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=4486"	"http://www.degruyter.com/view/j/cogl?recentIssue=true"	1990	1						"Allgemeine Linguistik"
124245	"Cognitive Linguistics Bibliography"	"Mouton de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1861-048X"	""	"2234483-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=124245"	"http://www.degruyter.com/view/db/cogbib"	2006							"Allgemeine Linguistik"
135059	"Cognitive Semiotics"	"Peter Lang ; De Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1662-1425"	"1662-1425"	"2556380-4"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=135059"	"http://www.degruyter.com/view/j/cogsem?recentIssue=true"	2007	1						"Semiotik"
25428	"Communications : The European Journal of Communication Research (COMM)"	"de Gruyter"	"Medien- und Kommunikationswissenschaften, Publizistik"	"1613-4087"	"0341-2059"	"2084562-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=25428"	"http://www.degruyter.com/view/j/comm?recentIssue=true"	1976	2						"Kommunikationswissenschaft"
53241	"Corpus Linguistics and Linguistic Theory"	"de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1613-7035"	"1613-7027"	"2180564-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=53241"	"http://www.degruyter.com/view/j/cllt?recentIssue=true"	2005	1						"Allgemeine Linguistik"
213612	"Demokratie und Geschichte"	"Böhlau ; De Gruyter"	"Geschichte;Politologie"	"2307-2881"	"2227-7633"	"2761089-5"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=213612"	"http://www.degruyter.com/view/j/dug?recentIssue=true"	1997	1						"Demokratie;Zeitgeschichte"
39550	"Deutsche Zeitschrift für Wirtschafts- und Insolvenzrecht (DZWir) (früher: Deutsche Zeitschrift für Wirtschaftsrecht)"	"de Gruyter"	"Rechtswissenschaft;Wirtschaftswissenschaften"	"1612-7056"	"0940-1555"	"2131655-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=39550"	"http://www.degruyter.com/view/j/dwir?recentIssue=true"	1991	1						"Wirtschaftsrecht"
219723	"Deutsches Dante-Jahrbuch "	"de Gruyter Mouton"	"Romanistik"	"2194-4059"	"0070-444X"	"2783191-7"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=219723"	"http://www.degruyter.com/view/j/dante"	1949	28						"Französische Literaturwissenschaft"
123165	"Dialectologia et Geolinguistica"	"Mouton de Gruyter"	"Allgemeine und vergleichende Sprach- und Literaturwissenschaft. Indogermanistik. Außereuropäische Sprachen und Literaturen"	"1867-0903"	"0942-4040"	"2502679-3"	"http://ezb.uni-regensburg.de/detail.phtml?bibid=NALFK&jour_id=123165"	"http://www.degruyter.com/view/j/dig?recentIssue=true"	1993	1						"Dialektologie"
