"Institution"	"EZB-Id"	"Sigel"
"Hochschule für Gesundheit"	"HFG"	"DE-1866"
"Hochschule Koblenz RheinAhrCampus Remagen"	"HKRAC"	"DE-1105"
"Hochschule Reutlingen - Lernzentrum"	"FHRT"	"DE-Rt2"
"Hochschule Rhein-Waal"	"HRW"	""
"Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg"	"HAWHH"	""
"Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg"	"FHBRS"	"DE-1044"
"Hochschul- und Landesbibliothek Fulda"	"FHFD"	"DE-66"
"Humboldt-Universität zu Berlin"	"UBHUB"	"DE-11-10"
"Institut für Arbeitsmarkt- und Berufsforschung, Nürnberg"	"IAB"	""
"IPN Bibliothek, Kiel"	"IPN"	"DE-Ki128"
"IZUS / Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Hochschulbibliothek"	"FHWOE"	"DE-839"
"KIM Konstanz, IT- und Bibliotheksdienste"	"UBKO"	"DE-352"
"Kommunikations-, Informations- und Medienzentrum Hohenheim (KIM)"	"UBHOH"	"DE-100"
"Kunsthistorisches Institut in Florenz, Max-Planck-Institut"	"KHIFI"	"DE-Y3"
"Leibniz-Institut für Länderkunde, Geographische Zentralbibliothek, Leipzig"	"GZB"	"DE-185"
"Max Planck Institute for Plant Breeding"	"MPIZ"	"DE-Vol1"
"Max-Planck-Institute für Biochemie u. Neurobiologie, Martinsried"	"MPIBC"	"DE-M411"
"Max-Planck-Institute Stuttgart"	"MPIS"	"DE-Stg113"
"Max-Planck-Institute Tübingen"	"MPIT"	"DE-B107"
"Max-Planck-Institut für Astronomie, Heidelberg"	"MPIAS"	"DE-He81"
"Max-Planck-Institut für Astrophysik/extraterrestrische Physik, Garching"	"MPAEP"	"DE-B161a"
"Max-Planck-Institut für ausländisches öffentliches Recht und Völkerrecht"	"MPIV"	"DE-B208"
"Max-Planck-Institut für ausländisches und internationales Privatrecht, Hamburg"	"MPIPR"	"DE-B212"
"Max-Planck-Institut für ausländisches und internationales Strafrecht, Freiburg i. Br."	"MPAI"	"DE-Frei85"
"Max-Planck-Institut für Bildungsforschung, Berlin"	"MPIBF"	"DE-B1532"
"Max-Planck-Institut für biophysikalische Chemie, Göttingen"	"MPIBP"	"DE-Goe116"
"Max-Planck-Institut für Chemie, Mainz"	"MPICH"	"DE-Mz4"
"Max-Planck-Institut für Chemische Physik fester Stoffe, Dresden"	"CPFS"	"DE-D210"
"Max-Planck-Institut für demographische Forschung, Rostock"	"MPIDF"	""
"Max-Planck-Institut für Dynamik komplexer technischer Systeme, Magdeburg"	"MPIDS"	"DE-Ma54"
"Max-Planck-Institut für Dynamik und Selbstorganisation, Göttingen"	"MPISF"	""
"Max-Planck-Institut für Eisenforschung"	"MPIE"	"DE-Due57"
"Max-Planck-Institut für empirische Ästhetik"	"MPIAE"	"DE-2177"
"Max-Planck-Institut für Ethnologische Forschung, Halle"	"MPIEF"	"DE-Ha163"
"Max-Planck-Institut für europäische Rechtsgeschichte, Frankfurt/Main"	"MPIER"	"DE-F137"
"Max-Planck-Institut für evolutionäre Anthropologie, Leipzig"	"MPIEA"	"DE-L321"
"Max-Planck-Institut für Evolutionsbiologie, Plön"	"MPIL"	"DE-Pn1"
"Max-Planck-Institut für experimentelle Medizin, Göttingen"	"MPIEM"	"DE-Goe134"
"Max-Planck-Institut für Gesellschaftsforschung, Köln"	"MPIFG"	"DE-Kn188"
"Max-Planck-Institut für Gravitationsphysik, Golm"	"AEI"	"DE-Po62"
"Max-Planck-Institut für Herz- und Lungenforschung, W.G. Kerckhoff-Institut, Bad Nauheim"	"MPIPK"	"DE-Nau1"
"Max-Planck-Institut für Immunbiologie Freiburg"	"MPIIM"	"DE-Frei106"
"Max-Planck-Institut für Infektionsbiologie"	"MPIIB"	""
"Max-Planck-Institut für Informatik Saarbrücken Max Planck Institute for Software Systems Kaiserslautern/Saarbrücken"	"MPII"	"DE-Sa18"
"Max-Planck-Institut für Kernphysik, Heidelberg"	"MPIKP"	"DE-He74"
"Max-Planck-Institut für Kognitions- und Neurowissenschaften, Leipzig"	"MPINF"	"DE-L322"
"Max-Planck-Institut für Kolloid- und Grenzflächenforschung, Golm"	"MPIKG"	"DE-Po81"
"Max-Planck-Institut für marine Mikrobiologie, Bremen"	"MPIMM"	"DE-Bre11"
"Max-Planck-Institut für Mathematik, Bonn"	"MPIMA"	"DE-Bo206"
"Max-Planck-Institut für Mathematik in den Naturwissenschaften, Leipzig"	"MPIMN"	"DE-L323"
"Max-Planck-Institut für medizinische Forschung, Heidelberg"	"MPIMF"	"DE-He43"
"Max-Planck-Institut für  Menschheitsgeschichte, Jena"	"MPIEW"	"DE-J152"
"Max-Planck-Institut für Meteorologie, Hamburg"	"MPIM"	""
"Max-Planck-Institut für Mikrostrukturphysik, Halle"	"MPIMS"	"DE-Ha94"
"Max-Planck-Institut für molekulare Genetik, Berlin"	"MOLGE"	"DE-B787"
"Max-Planck-Institut für molekulare Pflanzenphysiologie, Golm"	"MPIMP"	"DE-Po80"
"Max-Planck-Institut für molekulare Physiologie, Dortmund"	"EZBDO"	"DE-Dm1"
"Max-Planck-Institut für Molekulare Zellbiologie und Genetik, Dresden"	"CBG"	"DE-D267"
"Max-Planck-Institut für Ornithologie, Seewiesen"	"MPFO"	"DE-Star1"
"Max-Planck-Institut für Physik komplexer Systeme, Dresden"	"PKS"	"DE-D206"
"Max-Planck-Institut für Plasmaphysik"	"MPIPP"	"DE-M359"
"Max-Planck-Institut für Polymerforschung, Mainz"	"MPIP"	"DE-Mz116"
"Max-Planck-Institut für Psychiatrie"	"MPGPS"	"DE-M68"
"Max-Planck-Institut für Psycholinguistik, Nijmegen"	"MPIPL"	"DE-Y4"
"Max-Planck-Institut für Quantenoptik, Garching"	"MPQUA"	"DE-M484"
"Max-Planck-Institut für Radioastronomie, Bonn"	"MPIFR"	"DE-Bo146"
"Max-Planck-Institut für Sonnensystemforschung, Göttingen"	"MPAE"	"DE-Lin1b"
"Max-Planck-Institut für Sozialrecht und Sozialpolitik, München"	"MPISR"	"DE-M477"
"Max-Planck-Institut für terrestrische Mikrobiologie, Marburg"	"MPITM"	""
"Max-Planck-Institut für Wissenschaftsgeschichte, Berlin"	"MPIWG"	"DE-B2226"
"Max-Planck-Institut zur Erforschung multireligiöser und multiethnischer Gesellschaften"	"MPIG"	"DE-Goe164"
"Max-Planck-Institut zur Erforschung von Gemeinschaftsgütern, Bonn"	"MPPRG"	"DE-Bo407"
"Medienzentrum der Hochschule Darmstadt"	"FHDA"	"DE-Ds114"
"Medizinische Bibliothek der Charité"	"MBCB"	"DE-578-e"
"Niedersächsische Staats- und Universitätsbibliothek Göttingen"	"SUBGO"	"DE-7"
"Pädagogische Hochschule Weingarten (PHW)"	"HBW"	""
"Staats- und Universitätsbibliothek Hamburg und Fachbibliotheken"	"SUBHH"	"DE-18"
"Technische Informationsbibliothek (TIB)"	"UBTIB"	"DE-89"
"Technische Universität München - Universitätsbibliothek"	"TUM"	"DE-91"
"Thüringer Universitäts- und Landesbibliothek Jena"	"THULB"	"DE-27"
"UB der Helmut-Schmidt-Universität Hamburg"	"UBWH"	"DE-705"
"UB Landau der Universitätsbibliothek Koblenz-Landau"	"BIBLA"	""
"Universität Marburg"	"UBMA"	"DE-4"
"Universitätsbibliothek Bayreuth"	"UBBAY"	"DE-703"
"Universitätsbibliothek Cottbus-Senftenberg"	"TUCB"	"DE-634"
"Universitätsbibliothek der FAU Erlangen-Nürnberg"	"UBEN"	"DE-29"
"Universitätsbibliothek der Freien Universität Berlin"	"FUB"	"DE-188-e"
"Universitätsbibliothek der LMU München"	"UBM"	"DE-19"
"Universitätsbibliothek Duisburg-Essen, Campus Duisburg"	"UBDU"	"DE-464"
"Universitätsbibliothek Duisburg-Essen"	"UGHE"	"DE-465"
"Universitätsbibliothek Greifswald"	"UBGRW"	"DE-9"
"Universitätsbibliothek Heidelberg"	"UBHE"	"DE-16"
"Universitätsbibliothek Ilmenau"	"UBIL"	"DE-Ilm1"
"Universitätsbibliothek Kassel"	"UBKAS"	"DE-34"
"Universitätsbibliothek Koblenz-Landau"	"BIBKO"	""
"Universitätsbibliothek Leipzig"	"UBL"	"DE-15"
"Universitätsbibliothek Lüneburg"	"UBLUE"	"DE-Luen4"
"Universitätsbibliothek Magdeburg (einschl. Medizinische Zentralbibliothek)"	"UBMD"	"DE-Ma9"
"Universitätsbibliothek Mannheim"	"UBMAN"	"DE-180"
"Universitätsbibliothek Paderborn"	"UBPB"	"DE-466"
"Universitätsbibliothek Regensburg"	"UBR"	"DE-355"
"Universitätsbibliothek Siegen"	"UBSI"	"DE-467"
"Universitätsbibliothek Tübingen"	"UBTUE"	"DE-21"
"Universitätsbibliothek Witten/Herdecke"	"UNIWH"	"DE-1018"
"Universitätsbibliothek Würzburg"	"UBW"	"DE-20"
"Universitätsklinikum Hamburg-Eppendorf"	"UKE"	"DE-18-64"
"Universitäts- und Landesbibliothek Münster"	"ULBMS"	"DE-6"
"Wissenschaftszentrum Berlin für Sozialforschung, Berlin"	"WZB"	"DE-B1543"
"Württembergische Landesbibliothek Stuttgart"	"WLB"	"DE-24"
