"Institution"	"EZB-Id"	"Sigel"
"Fritz-Haber-Institut der Max-Planck-Gesellschaft, Berlin"	"FHI"	"DE-B113"
"Führungsakademie der Bundeswehr: Fachinformationsstelle / Bibliothek"	"FAB"	"DE-H256"
"GEOMAR Bibliothek - Helmholtz-Zentrum für Ozeanforschung Kiel"	"IFMAR"	"DE-Ki109"
"GIGA German Institute of Global and Area Studies - Informationszentrum, Hamburg"	"GIGA"	"DE-H221"
"Gottfried Wilhelm Leibniz Bibliothek - Niedersächsische Landesbibliothek"	"GWLB"	"DE-35"
"GSI-Bibliothek"	"GSI"	"DE-Ds200"
"Helmholtz-Zentrum Berlin - Zentralbibliothek"	"HMIB"	"DE-B1505"
"Helmholtz-Zentrum Dresden-Rossendorf e.V."	"FZR"	"DE-D120"
"Helmholtz-Zentrum für Infektionsforschung, Braunschweig - Bibliothek"	"GBF"	"DE-Bs80"
"Helmholtz-Zentrum für Umweltforschung GmbH - UFZ"	"UFZ"	"DE-L97"
"Helmholtz-Zentrum Geesthacht, Bibliothek"	"GKSS"	"DE-Gt1"
"Helmholtz Zentrum München - Zentralbibliothek"	"GSF"	""
"Hertie School of Governance"	"HSG"	"DE-B1570"
"Hochschulbibliothek der Fachhochschule Aachen"	"FHBAA"	"DE-A96"
"Hochschulbibliothek der FH Bielefeld"	"FHBI"	"DE-Bi10"
"Hochschulbibliothek der Hochschule Bochum"	"FHBO"	"DE-Bm40"
"Hochschulbibliothek der Hochschule Düsseldorf"	"FHD"	"DE-Due62"
"Hochschulbibliothek der Hochschule Niederrhein"	"HSNRH"	"DE-829"
"Hochschulbibliothek der HTWG Konstanz"	"FHKN"	"DE-Kon4"
"Hochschulbibliothek der HTWK Leipzig"	"HTWK"	"DE-L189"
"Hochschulbibliothek EAH Jena"	"FHJ"	"DE-J59"
"Hochschulbibliothek Emden/Leer"	"FHOOW"	"DE-755"
"Hochschulbibliothek Heilbronn"	"FHHN"	"DE-840"
"Hochschulbibliothek Karlsruhe"	"HSBKA"	"DE-751"
"Hochschulbibliothek Kempten"	"FHBKA"	"DE-859"
"Hochschulbibliothek Magdeburg-Stendal"	"HBMST"	"DE-551"
"Hochschulbibliothek Mittweida"	"HTWM"	"DE-Mit1"
"Hochschulbibliothek Neubrandenburg"	"FHNB"	"DE-519"
"Hochschulbibliothek OTH Regensburg"	"FHBR"	"DE-898"
"Hochschulbibliothek Pforzheim"	"FHPF"	""
"Hochschulbibliothek Wismar"	"HSHWI"	"DE-Wis1"
"Hochschulbibliothek Würzburg-Schweinfurt"	"FHBWS"	"DE-863"
"Hochschule Fresenius, Idstein"	"EFF"	"DE-1126"
"Hochschule für Gesundheit"	"HFG"	"DE-1866"
"Hochschule für Technik und Wirtschaft (FH) Dresden"	"HTWDD"	"DE-520"
"Hochschule Karlsruhe - Technik und Wirtschaft HsKA"	"FBHKA"	"DE-90-4"
"Hochschule Koblenz RheinAhrCampus Remagen"	"HKRAC"	"DE-1105"
"Hochschule Osnabrück - Bibliothek"	"FHOS"	"DE-959"
"Hochschule Reutlingen - Lernzentrum"	"FHRT"	"DE-Rt2"
"Hochschule Rhein-Waal"	"HRW"	""
"Hochschulinformations- und Bibliotheksservice (HIBS) der HAW-Hamburg"	"HAWHH"	""
"Hochschul- und Kreisbibliothek Bonn-Rhein-Sieg"	"FHBRS"	"DE-1044"
"Hochschul- und Landesbibliothek Fulda"	"FHFD"	"DE-66"
"Hochschul- und Landesbibliothek RheinMain"	"HLB"	"DE-43"
"HSFK-Bibliothek Frankfurt am Main"	"HSFK"	"DE-F197"
"Humboldt-Universität zu Berlin"	"UBHUB"	"DE-11-10"
"IfADo - Leibniz-Institut für Arbeitsforschung an der TU Dortmund - Bibliothek"	"IFADO"	"DE-Dm21"
"Institut für Arbeitsmarkt- und Berufsforschung, Nürnberg"	"IAB"	""
"Institut für Deutsche Sprache (IDS)"	"IDS"	"DE-Mh39"
"IPN Bibliothek, Kiel"	"IPN"	"DE-Ki128"
"IZUS / Universitätsbibliothek Stuttgart"	"UBS"	"DE-93"
"Jade Hochschule Wilhelmshaven/Oldenburg/Elsfleth, Hochschulbibliothek"	"FHWOE"	"DE-839"
"Karlsruher Institut für Technologie KIT"	"KIT"	"DE-90"
"Katholische Hochschule Nordrhein-Westfalen (KatHO NRW) - Hochschulbibliothek"	"KHN"	"DE-1032"
"KIM Konstanz, IT- und Bibliotheksdienste"	"UBKO"	"DE-352"
"Kommunikations-, Informations- und Medienzentrum Hohenheim (KIM)"	"UBHOH"	"DE-100"
