Bibliothek der Hochschule für öff. Verwaltung und Finanzen	Hochschule fu.r O.ffentliche Verwaltung und Finanzen
Bibliothek der Hochschule für öff. Verwaltung und Finanzen	Fachhochschule Ludwigsburg - Hochschule fu.r O.ffentliche Verwaltung und Finanzen
Bibliothek der Hochschule für Wirtschaft und Gesellschaft Ludwigshafen am Rhein	Fachhochschule Ludwigshafen am Rhein
Bibliothek der Hochschule Hannover	Hochschule Hannover
Bibliothek der Hochschule Harz in Wernigerode und Halberstadt	Hochschule Harz
Bibliothek der Hochschule Mainz	Hochschule Mainz
Bibliothek der Hochschule München	Hochschule fu.r Angewandte Wissenschaften Mu.nchen
Bibliothek der Hochschule Offenburg	Hochschule Offenburg
Bibliothek der Hochschule Ruhr West	Hochschule Ruhr West
Bibliothek der Hochschule Weihenstephan-Triesdorf	Hochschule Weihenstephan-Triesdorf
Bibliothek der HS Augsburg	Hochschule Augsburg
Bibliothek der HS Augsburg	Fachhochschule Augsburg
Bibliothek der HS Coburg	Fachhochschule Coburg
Bibliothek der HTW-Berlin	Hochschule fu.r Technik und Wirtschaft Berlin
Bibliothek der International Psychoanalytic University (IPU) Berlin	International Psychoanalytic University
Bibliothek der Konrad-Adenauer-Stiftung	Konrad-Adenauer-Stiftung
Bibliothek der Kriminologischen Zentralstelle e.V., Wiesbaden	Kriminologische Zentralstelle
Bibliothek der Leopoldina, Halle (Saale)	Deutsche Akademie der Naturforscher Leopoldina
Bibliothek der Max-Planck-Institute für Chemische Ökologie und Biogeochemie	Max-Planck-Institut fu.r Chemische O.kologie
Bibliothek der Max-Planck-Institute für Chemische Ökologie und Biogeochemie	Max-Planck-Institut fu.r Biogeochemie
Bibliothek der Ostfalia Hochschule für angewandte Wissenschaften	Ostfalia Hochschule fu.r Angewandte Wissenschaften
Bibliothek der Pädagogischen Hochschule Freiburg	Pa.dagogische Hochschule Freiburg
Bibliothek der Pädagogischen Hochschule Freiburg	Pa.dagogische Hochschule Freiburg im Breisgau
Bibliothek der Pädagogischen Hochschule Heidelberg	Pa.dagogische Hochschule Heidelberg
Bibliothek der Physikalisch-Technischen Bundesanstalt, Braunschweig und Berlin	Physikalisch-Technische Bundesanstalt
Bibliothek der Staatlichen Hochschule für Musik Trossingen	Staatliche Hochschule fu.r Musik Trossingen
Bibliothek der Staatlichen Kunsthalle Karlsruhe	Staatliche Kunsthalle Karlsruhe
Bibliothek der Staatlichen Studienakademie Glauchau, BA Sachsen	Berufsakademie Sachsen - Staatliche Studienakademie Glauchau
Bibliothek der Staatlichen Studienakademie Plauen, BA Sachsen	Berufsakademie Sachsen - Staatliche Studienakademie Plauen
Bibliothek der Staatlichen Studienakademie Riesa, BA Sachsen	Berufsakademie Sachsen - Staatliche Studienakademie Riesa
Bibliothek der Technischen Hochschule Aschaffenburg	Hochschule fu.r Angewandte Wissenschaften, Fachhochschule Aschaffenburg
Bibliothek der Technischen Hochschule Deggendorf	Technische Hochschule Deggendorf
Bibliothek der Technischen Hochschule Nürnberg Georg Simon Ohm	Technische Hochschule Nu.rnberg Georg Simon Ohm
Bibliothek der Technischen Hochschule Ulm	Fachhochschule Ulm
Bibliothek der Technischen Universität Hamburg	Technische Universita.t Hamburg
Bibliothek der Technischen Universität Hamburg	Technische Universita.t Hamburg-Harburg
Bibliothek der TH Rosenheim	Fachhochschule Rosenheim
Bibliothek der Westfälischen Hochschule Gelsenkirchen Bocholt Recklinghausen	Westfa.lische Hochschule
Bibliothek des Bischöflichen Priesterseminars Trier	Bischo.fliches Priesterseminar Trier
Bibliothek des Bundesfinanzhofs, München	Bundesfinanzhof
Bibliothek des Bundesgerichtshofs, Karlsruhe	Bundesgerichtshof
Bibliothek des Bundesverfassungsgerichts, Karlsruhe	Bundesverfassungsgericht
Bibliothek des Carl-Thiem-Klinikums Cottbus	Carl-Thiem-Klinikum Cottbus
Bibliothek des Deutschen Forums für Kunstgeschichte Paris	Deutsches Forum fu.r Kunstgeschichte
Bibliothek des Deutschen Historischen Instituts in Rom	Deutsches Historisches Institut in Rom
Bibliothek des Deutschen Museums München	Deutsches Museum
Bibliothek des Deutschen Schiffahrtsmuseums Bremerhaven	Deutsches Schiffahrtsmuseum
Bibliothek des DHI Moskau	Deutsches Historisches Institut Moskau
Bibliothek des Fraunhofer-Instituts für Silicatforschung	Fraunhofer-Institut fu.r Silicatforschung
Bibliothek des Geozentrums Hannover BGR - LBEG - LIAG	Geozentrum
