"Lizenzliste: Wiley DEAL KP [EZB-WIDEA-01707]"			 			 			 			 			 	
"Datum: 05.09.2020 um 00:25 Uhr"			 			 			 			 			 	
"Typ der Lizenzen: Alle angezeigten Lizenzen"			 			 			 			 			 	
 			 			 			 			 			 	
"EZB-Id"	"Titel"	"Verlag"	"Fach"	"E-ISSN"	"P-ISSN"	"ZDB-Nummer"	"FrontdoorURL"	"Link zur Zeitschrift"	"erstes Jahr"	"erstes volume"	"erstes issue"	"letztes Jahr"	"letztes volume"	"letztes issue"	"Embargo"	"Schlagworte"
63939	"Acta Obstetricia et Gynecologica Scandinavica (AOGS) "	"Wiley-Blackwell - STM ; formerly Informa Healthcare"	"Medizin"	"1600-0412"	"0786-4981"	"2024554-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=63939"	"https://onlinelibrary.wiley.com/journal/16000412"	1921	1	1				0	"Gynäkologie und Geburtshilfe"
7617	"Acta Ophthalmologica "	"Wiley-Blackwell - STM "	"Medizin"	"1755-3768"	"1755-375X"	"2466981-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=7617"	"https://onlinelibrary.wiley.com/journal/17553768"	1923	1	1				0	"Augenheilkunde"
5507	"Acta Paediatrica -Acta Paediatrica Scandinavica-: Nurturing the Child (incl. Suppl.)"	"Wiley"	"Medizin"	"1651-2227"	"0803-5253"	"1492629-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=5507"	"https://onlinelibrary.wiley.com/journal/16512227"	1921	1	1				0	"Kinderheilkunde"
2637	"Acta Physiologica (incl. Suppl.)"	"Wiley"	"Medizin"	"1748-1716"	"1748-1708"	"2219379-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=2637"	"https://onlinelibrary.wiley.com/journal/17481716"	1940	1	1				0	"Humanphysiologie"
4231	"Acta Polymerica"	"Wiley"	"Chemie und Pharmazie;Physik"	"1521-4044"	"0323-7648"	"1474947-6"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=4231"	"https://onlinelibrary.wiley.com/journal/15214044"	1979	30	1	1999	50	12	0	"Polymerforschung"
6786	"Acta Psychiatrica Scandinavica (incl. Suppl.)"	"Wiley"	"Medizin;Psychologie"	"1600-5473"	"0365-5598"	"2005703-9"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=6786"	"https://onlinelibrary.wiley.com/journal/16000447"	1926	1	1				0	"Psychiatrie"
8977	"Acta Zoologica"	"Wiley-Blackwell - STM "	"Biologie"	"1463-6395"	"0001-7272"	"2019873-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=8977"	"https://onlinelibrary.wiley.com/journal/14636395"	1920	1	1				0	"Allgemeine Zoologie"
19171	"Addiction "	"Wiley"	"Medizin;Psychologie"	"1360-0443"	"0965-2140"	"2002997-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=19171"	"https://onlinelibrary.wiley.com/journal/13600443"	1903	1	1				0	"Suchtforschung"
1069	"Addiction Biology"	"Wiley-Blackwell - STM "	"Medizin"	"1369-1600"	"1355-6215"	"1495537-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1069"	"https://onlinelibrary.wiley.com/journal/13691600"	1996	1	1				0	"Suchtforschung"
172025	"Adultspan Journal"	"Wiley ; American Counseling Association"	"Psychologie"	"2161-0029"	"1524-6817"	"2645252-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=172025"	"https://onlinelibrary.wiley.com/journal/21610029"	1999	1	1				0	"Familienpsychologie"
252610	"Advanced Biosystems"	"Wiley"	"Verfahrenstechnik, Biotechnologie, Lebensmitteltechnologie"	"2366-7478"	""	"2880980-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=252610"	"https://onlinelibrary.wiley.com/journal/23667478"	2017	1	1				0	"Biotechnologie"
454472	"Advanced Control for Applications"	"Wiley"	"Elektrotechnik,  Mess- und Regelungstechnik"	"2578-0727"	""	"2968631-3"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=454472"	"https://onlinelibrary.wiley.com/journal/25780727"	2019	1					0	"Regelungstechnik"
228411	"Advanced Electronic Materials"	"Wiley"	"Elektrotechnik,  Mess- und Regelungstechnik"	"2199-160X"	""	"2810904-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=228411"	"https://onlinelibrary.wiley.com/journal/2199160X"	2015	1	1				0	"Elektronik"
151352	"Advanced Energy Materials"	"Wiley-VCH"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1614-6840"	"1614-6832"	"2594556-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=151352"	"https://onlinelibrary.wiley.com/journal/16146840"	2011	1	1				0	"Energietechnik"
7601	"Advanced Engineering Materials"	"Wiley-Blackwell - STM "	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1527-2648"	"1438-1656"	"2016980-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=7601"	"https://onlinelibrary.wiley.com/journal/15272648"	1999	1	1				0	"Werkstoffkunde"
9538	"Advanced Functional Materials"	"Wiley"	"Chemie und Pharmazie;Elektrotechnik,  Mess- und Regelungstechnik"	"1616-3028"	"1616-301X"	"2039420-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=9538"	"https://onlinelibrary.wiley.com/journal/16163028"	1992	1	1				0	"Halbleitertechnik"
171704	"Advanced Healthcare Materials"	"Wiley"	"Medizin"	"2192-2659"	"2192-2640"	"2645585-7"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=171704"	"https://onlinelibrary.wiley.com/loi/21922659"	2012	1	1				0	"Allgemeine medizinische Zeitschriften"
4002	"Advanced Materials"	"Wiley-Blackwell - STM "	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik;Physik"	"1521-4095"	"0935-9648"	"1474949-X"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=4002"	"https://onlinelibrary.wiley.com/journal/15214095"	1989	1	1				0	"Werkstoffkunde;Werkstoffchemie"
205488	"Advanced Materials Interfaces "	"Wiley-Blackwell"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"2196-7350"	""	"2750376-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=205488"	"https://onlinelibrary.wiley.com/journal/21967350"	2014	1	1				0	"Werkstoffkunde"
243058	"Advanced Materials Technologies"	"Wiley"	"Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"2365-709X"	""	"2850995-X"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=243058"	"https://onlinelibrary.wiley.com/journal/2365709X"	2016	1	1				0	"Werkstoffkunde"
195568	"Advanced Optical Materials"	"Wiley-Blackwell"	"Physik"	"2195-1071"	""	"2708158-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=195568"	"https://onlinelibrary.wiley.com/journal/21951071"	2013	1	1				0	"Optik"
314634	"Advanced Quantum Technologies"	"Wiley"	"Physik"	"2511-9044"	""	"2885525-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=314634"	"https://onlinelibrary.wiley.com/journal/25119044"	2018	1					0	"Quantenphysik"
252611	"Advanced Sustainable Systems"	"Wiley"	"Energie, Umweltschutz, Kerntechnik"	"2366-7486"	""	"2880982-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=252611"	"https://onlinelibrary.wiley.com/journal/23667486"	2017	1	1				0	"Nachhaltigkeit"
3994	"Advanced Synthesis and Catalysis "	"Wiley"	"Chemie und Pharmazie"	"1615-4169"	"1615-4150"	"2041384-1"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=3994"	"https://onlinelibrary.wiley.com/journal/16154169"	1834	1	1				0	"Angewandte Chemie"
313244	"Advanced Theory and Simulations "	"Wiley"	"Physik"	"2513-0390"	""	"2894557-8"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=313244"	"https://onlinelibrary.wiley.com/journal/25130390"	2018	1	1				0	"Theoretische Physik"
314638	"Advanced Therapeutics"	"Wiley"	"Medizin"	"2366-3987"	""	"2920320-X"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=314638"	"https://onlinelibrary.wiley.com/journal/23663987"	2018	1					0	"Physikalische Therapie"
314639	"Advances in Cell and Gene Therapy"	"Wiley"	"Medizin"	"2573-8461"	""	"2920323-5"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=314639"	"https://onlinelibrary.wiley.com/journal/25738461"	2018	1					0	"Biomedizin"
217232	"Advances in Political Psychology "	"Wiley"	"Politologie;Psychologie"	"1467-9221"	"0162-895X"	"2775502-2"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=217232"	"https://onlinelibrary.wiley.com/journal/14679221"	2014						0	"Diplomatie"
1810	"Advances in Polymer Technology (1-81-2018)"	"Wiley"	"Chemie und Pharmazie;Maschinenwesen, Werkstoffwissenschaften, Fertigungstechnik, Bergbau u. Hüttenwesen, Verkehrstechnik, Feinwerktechnik"	"1098-2329"	"0730-6679"	"2014633-4"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=1810"	"https://onlinelibrary.wiley.com/journal/10982329"	1981	1		2018	37		0	"Polymerforschung"
252609	"AEM Education and Training"	"Wiley"	"Medizin"	"2472-5390"	""	"2881270-0"	"http://ezb.uni-regensburg.de/detail.phtml?jour_id=252609"	"https://onlinelibrary.wiley.com/journal/24725390"	2017	1	1				0	"Medizinische Ausbildung"
